# Citation information for the selected data product for each site selected.
# Newly published BASE and FLUXNET data products may not yet have a DOI for citation. Check the site's AmeriFlux Site Info webpage in a few days.
# Read more information about citing AmeriFlux data at the Data Policy webpage: https://ameriflux.lbl.gov/data/data-policy
# Citation information can also be acquired by making a Site Set (https://ameriflux.lbl.gov/sites/site-sets/) for your downloaded sites and use the "Download for Set: DOIs as ASCII" feature to acquire a list of DOI citations.
# Citation information can also be found on each site's AmeriFlux Site Info webpage. Access Site Info pages via Site Search: https://ameriflux.lbl.gov/sites/site-search/
site_id,author,title,publication_year,publisher,doi,doi_url,citation
"AR-CCa","Posse, Gabriela","AmeriFlux BASE AR-CCa Carlos Casares agriculture, Ver. 1-5","2022","AmeriFlux AMP","10.17190/AMF/1880910","http://doi.org/10.17190/AMF/1880910","Gabriela Posse (2022), AmeriFlux BASE AR-CCa Carlos Casares agriculture, Ver. 1-5, AmeriFlux AMP, (Dataset). https://doi.org/10.17190/AMF/1880910"
"AR-CCg","Posse, Gabriela","AmeriFlux BASE AR-CCg Carlos Casares grassland, Ver. 2-5","2024","AmeriFlux AMP","10.17190/AMF/1865474","http://doi.org/10.17190/AMF/1865474","Gabriela Posse (2024), AmeriFlux BASE AR-CCg Carlos Casares grassland, Ver. 2-5, AmeriFlux AMP, (Dataset). https://doi.org/10.17190/AMF/1865474"
"AR-TF1","Kutzbach, Lars","AmeriFlux BASE AR-TF1 Rio Moat bog, Ver. 2-5","2021","AmeriFlux AMP","10.17190/AMF/1543389","http://doi.org/10.17190/AMF/1543389","Lars Kutzbach (2021), AmeriFlux BASE AR-TF1 Rio Moat bog, Ver. 2-5, AmeriFlux AMP, (Dataset). https://doi.org/10.17190/AMF/1543389"
"AR-TF2","Kutzbach, Lars","AmeriFlux BASE AR-TF2 Rio Pipo bog, Ver. 1-5","2019","AmeriFlux AMP","10.17190/AMF/1543388","http://doi.org/10.17190/AMF/1543388","Lars Kutzbach (2019), AmeriFlux BASE AR-TF2 Rio Pipo bog, Ver. 1-5, AmeriFlux AMP, (Dataset). https://doi.org/10.17190/AMF/1543388"
"BR-Cax","no_info_available","no_info_available","no_info_available","no_info_available","no_info_available","no_info_available","no_info_available"
"BR-CST","Antonino, Antonio","AmeriFlux BASE BR-CST Caatinga Serra Talhada, Ver. 1-5","2019","AmeriFlux AMP","10.17190/AMF/1562386","http://doi.org/10.17190/AMF/1562386","Antonio Antonino (2019), AmeriFlux BASE BR-CST Caatinga Serra Talhada, Ver. 1-5, AmeriFlux AMP, (Dataset). https://doi.org/10.17190/AMF/1562386"
"BR-CUP","no_info_available","no_info_available","no_info_available","no_info_available","no_info_available","no_info_available","no_info_available"
"BR-Ji1","no_info_available","no_info_available","no_info_available","no_info_available","no_info_available","no_info_available","no_info_available"
"BR-Ji3","no_info_available","no_info_available","no_info_available","no_info_available","no_info_available","no_info_available","no_info_available"
"BR-Ma2","Araújo, A. C.; Nobre, A. D.; Kruijt, B.; Elbers, J. A.; Dallarosa, R.; Stefani, P.; von Randow, C.; Manzi, A. O.; Culf, A. D.; Gash, J. H. C.; Valentini, R.; Kabat, P.","Comparative measurements of carbon dioxide fluxes from two nearby towers in a central Amazonian rainforest: The Manaus LBA site","2002","American Geophysical Union (AGU)","10.1029/2001JD000676","http://doi.org/10.1029/2001JD000676","Araújo, A. C., Nobre, A. D., Kruijt, B., Elbers, J. A., Dallarosa, R., Stefani, P., von Randow, C., Manzi, A. O., Culf, A. D., Gash, J. H. C., Valentini, R., Kabat, P. (2002) Comparative measurements of carbon dioxide fluxes from two nearby towers in a central Amazonian rainforest: The Manaus LBA site, Journal of Geophysical Research: Atmospheres, 107(D20)"
"BR-Ma3","no_info_available","no_info_available","no_info_available","no_info_available","no_info_available","no_info_available","no_info_available"
"BR-Moj","no_info_available","no_info_available","no_info_available","no_info_available","no_info_available","no_info_available","no_info_available"
"BR-Npw","Vourlitis, George; Dalmagro, Higo; Nogueira, José de S.; Johnson, Mark; Arruda, Paulo","AmeriFlux BASE BR-Npw Northern Pantanal Wetland, Ver. 1-5","2019","AmeriFlux AMP","10.17190/AMF/1579716","http://doi.org/10.17190/AMF/1579716","George Vourlitis, Higo Dalmagro, José de S. Nogueira, Mark Johnson, Paulo Arruda (2019), AmeriFlux BASE BR-Npw Northern Pantanal Wetland, Ver. 1-5, AmeriFlux AMP, (Dataset). https://doi.org/10.17190/AMF/1579716"
