SITE_ID,dataset,start_year,end_year,IGBP,LOCATION_ELEV,LOCATION_LAT,LOCATION_LONG,SITE_NAME,koppen_sub,koppen_main,koppen_name,koppen_main_name,C3/C4,C4_percent,Species Description,Notes,link
AR-SLu,FLUXNET,2009,2011,MF,,-33.4648,-66.4598,San Luis,7,2,BSk,Arid,C3,67.08,,,
AR-Vir,FLUXNET,2009,2012,ENF,,-28.2395,-56.1886,Virasoro,14,3,Cfa,Temperate,C3,8.75,,,
AT-Neu,FLUXNET,2002,2012,GRA,970,47.11667,11.3175,Neustift,26,4,Dfb,Cold,C3,0,,,
AU-ASM,FLUXNET,2010,2014,SAV,,-22.283,133.249,Alice Springs,4,2,BWh,Arid,C3,100,,,
AU-Ade,FLUXNET,2007,2009,WSA,,-13.0769,131.1178,Adelaide River,3,1,Aw,Tropical,C3,79.57,,,
AU-Cpr,FLUXNET,2010,2014,SAV,,-34.0021,140.5891,Calperum,5,2,BWk,Arid,C3,8.91,,,
AU-Cum,FLUXNET,2012,2014,EBF,,-33.61518,150.72362,Cumberland Plain,14,3,Cfa,Temperate,C3,40.82,,,
AU-DaP,FLUXNET,2007,2013,GRA,,-14.0633,131.3181,Daly River Savanna,3,1,Aw,Tropical,C3,97.83,"ominated by species Chamaecrista rotundifolia (Round-leaf cassia cv. Wynn), Digitaria milijiana (Jarra grass) and Aristida sp",,https://www.ozflux.org.au/monitoringsites/dalypasture/dalypasture_description.html
AU-DaS,FLUXNET,2008,2014,SAV,,-14.1593,131.3881,Daly River Cleared,3,1,Aw,Tropical,C3,97.83,,,
AU-Dry,FLUXNET,2008,2014,SAV,,-15.2588,132.3706,Dry River,3,1,Aw,Tropical,C3,100,,,
AU-Emr,FLUXNET,2011,2013,GRA,,-23.8587,148.4746,Emerald,6,2,BSh,Arid,mix,35.64,The land use in the surrounding area was largely cropping (predominantly chickpeas or wheat) and grazed pasture (cattle),"From Qiaoyun: given the location, the pasture should be dominantly C4",https://www.ozflux.org.au/monitoringsites/arcturus/arcturus_description.html
AU-Fog,FLUXNET,2006,2008,WET,,-12.5452,131.3072,Fogg Dam,3,1,Aw,Tropical,C3,0,,,
AU-GWW,FLUXNET,2013,2014,SAV,,-30.1913,120.6541,"Great Western Woodlands, Western Australia, Australia",4,2,BWh,Arid,C3,0,,,
AU-Gin,FLUXNET,2011,2014,WSA,,-31.3764,115.7138,Gingin,8,3,Csa,Temperate,C3,0,,,
AU-How,FLUXNET,2001,2014,WSA,,-12.4943,131.1523,Howard Springs,3,1,Aw,Tropical,C3,0,,,
AU-Lox,FLUXNET,2008,2009,DBF,,-34.4704,140.6551,Loxton,5,2,BWk,Arid,C3,8.91,,,
AU-RDF,FLUXNET,2011,2013,WSA,,-14.5636,132.4776,"Red Dirt Melon Farm, Northern Territory",3,1,Aw,Tropical,C3,92.21,,,
AU-Rig,FLUXNET,2011,2014,GRA,,-36.6499,145.5759,Riggs Creek,14,3,Cfa,Temperate,C3,1.91,The flux tower site was located within an area of dryland agriculture. The surrounding area is dominated by broadacre farming practices. The vegetation cover is predominantly pasture. ,"From Qiaoyun: given the location, it should be dominantly C3",https://www.ozflux.org.au/monitoringsites/riggscreek/riggscreek_description.html
AU-Rob,FLUXNET,2014,2014,EBF,,-17.1175,145.6301,"Robson Creek, Queensland, Australia",11,3,Cwa,Temperate,C3,96.32,,,
AU-Stp,FLUXNET,2008,2014,GRA,,-17.1507,133.3502,Sturt Plains,6,2,BSh,Arid,C4,98.51,dominated by Mitchell Grass (gen. Astrebla),,
AU-TTE,FLUXNET,2012,2014,GRA,,-22.287,133.64,Ti Tree East,4,2,BWh,Arid,C4,100,grassy mulga woodland and Corymbia/Triodia savanna,,https://www.ozflux.org.au/monitoringsites/titreeeast/titreeeast_description.html
AU-Tum,FLUXNET,2001,2014,EBF,1200,-35.6566,148.1517,Tumbarumba,15,3,Cfb,Temperate,C3,0.01,,,
AU-Wac,FLUXNET,2005,2008,EBF,,-37.4259,145.1878,Wallaby Creek,15,3,Cfb,Temperate,C3,0.17,,,
AU-Whr,FLUXNET,2011,2014,EBF,,-36.6732,145.0294,Whroo,7,2,BSk,Arid,C3,1.91,,,
