site,site_long,pi,lat_icos,lon_icos,Utc Offset,classid_icos,Projects,Fluxes,Mean Annual Temperature,Mean Annual Precpitation,Slope,Exposure,Prevailing Wind Direction,Mean Water Table Depth,Days with snow cover,,
AE-ADb,Abu Dhabi Eastern Mangroves,Annalisa Molini,24.450883,54.428792,,WET,,CO2-E|H-E|LE-E,27.7,75,Flat,FLAT,NNW,0,0,,
AT-Fue,Fuegen,Georg Wohlfahrt,47.367374,11.854709,1,GRA,,CO2-E|H-E|LE-E,,,,,,-9999,,,
AT-Hnb,Höllengebirge,Bradley Matthews,47.803333,13.591389,,BSV,,CO2-E|H-E|LE-E,,,,,,-9999,,,
AT-Inn,Innsbruck,Thomas Karl,47.264096,11.385816,1,URB,FWF P30600,BVOCs-E|CH4-E|CO2-E|H-E|LE-E|O3-E,9.3,882,Valley,E,E,-9999,,,
AT-Lan,Laengenfeld,Georg Wohlfahrt,47.061221,10.963454,,GRA,,CO2-E|H-E|LE-E,,,,,,-9999,,,
AT-Leu,Leutasch,Georg Wohlfahrt,47.378036,11.16278,,GRA,,CO2-E|H-E|LE-E,,,,,,-9999,,,
AT-Mmg,Mieming,Georg Wohlfahrt,47.316564,10.970089,,ENF,,CO2-E|H-E|LE-E,8,753,"Medium Slope (>2 %, <5%)",S,SSE,-9999,,,
AT-Neu,Neustift,Georg Wohlfahrt,47.1166687,11.31750011,1,GRA,CarboMont (EU-FP5)|CarboExtreme (EU-FP7)|GHG-Europe (EU-FP7),BVOCs-E|CH4-E|CO2-E|H-E|LE-E|N2O-E|O3-E,6.5,852,Valley,Flat,,-9999,100,,
AT-Rtz,Rotholz,Georg Wohlfahrt,47.39472222,11.80472222,1,GRA,,CO2-E|H-E|LE-E,8.2,1151,Flat,0,,-9999,30,,
AT-Sch,Scharnitz,Georg Wohlfahrt,47.387291,11.247935,,GRA,,CO2|H-E|LE-E,,,,,,-9999,,,
AT-StA,Stubai Abandoned,Michael Bahn,47.12528,11.28944,,GRA,,CH4-C|CO2-C|N2O-C,3,1097,Strong Slope (>10%),SSE,S,-9999,146,,
AT-StM,Stubai Meadow,Michael Bahn,47.12889,11.30583,,GRA,,CH4-C|CO2-C|Isotopes-C|N2O-C,3,1097,Strong Slope (>10%),ESE,S,-9999,128,,
AT-StP,Stubai Pasture,Michael Bahn,47.13694,11.30361,,GRA,,CH4-C|CO2-C|N2O-C,3,1097,Strong Slope (>10%),SSE,SSW,-9999,124,,
AT-VnA,Vienna Arsenal,Bradley Matthews,48.18183766,16.39085089,1,URB,CarboWien, StadtWien MA759674417|VUCL, WWTF, 10.47379/ESR20030|A1 Telekom Austria,CH4-E|CO2-E|H-E|Isotopes|LE-E,NULL,,NULL,NULL,NULL,-9999
BE-Bra,Brasschaat,Ivan Janssens| EFDC Staff,51.30761,4.51984,1,MF,EuroFlux (EU-FP4)|CarboEuroFlux (EU-FP5)|CarboEuropeIP (EU-FP6)|CarboExtreme (EU-FP7),,9.8,750,,,SW,-9999,,,
BE-Dor,Dorinne,Bernard Heinesch,50.311876,4.968113,1,GRA,,CH4|CO2-E|H-E|LE-E|N2O,,,,,,-9999,,,
BE-Jal,La Robinette (Jalhay),Monique Carnol,50.56388889,6.073333333,1,MF,CarboEuropeIP (EU-FP6),,6,1200,"Medium Slope (>2 %, <5%)",320°,SO-NE,-9999,,,
BE-Lcr,Lochristi,Tim De Meulder,51.11218,3.85043,1,DBF,ICOS|University of Antwerp|PLECO,BVOCs|CH4-E/C|CO2-E/C|H-E/C|LE-E/C|N2O-E/C,10.8,872.7,,,,-9999,,,
BE-Lon,Lonzee,Bernard Heinesch| EFDC Staff,50.5516198,4.7462339,1,CRO,CarboEuropeIP (EU-FP6)|IMECC (EU-FP6),BVOCs-E|CO2-E|H-E|H2O-E|LE-E|N2O-E,10,800,Gentle slope (<2 %),WSW,SW,-9999,15,,
