sitename,lon,lat,elv,year_start,year_end,canopy_height,reference_height,koeppen_code,igbp_land_use,whc,product,c3c4,mat,p_over_pet
AR-SLu,-66.45980072021484,-33.46480178833008,500,2010,2010,4.5,11,Bsk,MF,172.03424072265625,plumber,C3,21.666548133124437,0.24671177056566407
AR-TF1,-66.7335,-54.9733,40,2016,2018,1.8565277797645994,5.059807703311627,ET,WET,159.9023406982422,ameriflux,NA,7.175663436937179,2.2078710543178626
AT-Neu,11.317500114440918,47.116668701171875,970,2002,2012,1,3,Dfc,GRA,239.9513397216797,plumber,C3,8.564706393905437,1.0479538121859018
AU-ASM,133.24899291992188,-22.283000946044922,606,2011,2017,6.5,11.600000381469727,BSh,SAV,149.10943603515625,plumber,C3,25.484468085146503,0.21685505385045128
AU-Cow,145.42715454101562,-16.238189697265625,86,2010,2015,22,35,Am,EBF,822.7951863606771,plumber,NA,24.830324072094392,3.972014637508069
AU-Cpr,140.58912658691406,-34.00205993652344,76,2011,2017,4,8.823529411764707,BSk,SAV,141.81759643554688,plumber,C3,20.71200956676386,0.1879807845459581
AU-Ctr,145.4468536376953,-16.10327911376953,66,2010,2017,25,45,Am,EBF,943.68280029296875,plumber,NA,24.729997253429623,3.8339314013564816
AU-Cum,150.72247314453125,-33.61329650878906,200,2013,2018,23,50.735294117647065,Cfa,EBF,179.55108642578125,plumber,C3,20.29878565646468,0.6585923554871822
AU-DaP,131.31809997558594,-14.063300132751465,116,2009,2012,0.30000001192092896,0.6617647321785198,Aw,GRA,597.201416015625,plumber,C3,28.68106660780456,0.7730160103050042
AU-DaS,131.38800048828125,-14.159282684326172,108,2010,2017,16.399999618530273,36.17646974675796,Aw,SAV,732.69219970703125,plumber,C3,28.232389159163887,0.8141579924960851
AU-Dry,132.37060546875,-15.25879955291748,191,2011,2015,12.300000190734863,27.13235336191514,Aw,SAV,672.0255126953125,plumber,C3,28.526456097076615,0.5528027757372732
AU-Emr,148.47459411621094,-23.858699798583984,177,2012,2013,2,5.599999904632568,Bsh,GRA,130.61582946777344,plumber,mix,24.138640470100402,0.4157905478766846
AU-GWW,120.65409851074219,-30.191299438476562,504,2013,2017,18,35,BWh ,SAV,144.88778686523438,plumber,C3,20.939712269277454,0.19247785274394896
AU-Gin,115.6500015258789,-31.375,51,2012,2017,7,15,Csa,WSA,439.7334899902344,plumber,C3,20.979032071364404,0.4304866400038171
AU-How,131.14999389648438,-12.495200157165527,41,2003,2017,16,35.294117647058826,Aw,WSA,558.27484130859375,plumber,C3,28.609480236152645,1.0138494405414533
AU-Lit,130.79449462890625,-13.17903995513916,200,2016,2017,20,31,Aw,WSA,543.70849609375,plumber,NA,28.02808827962722,1.017242860359615
AU-Otw,142.81680297851562,-38.53234100341797,54,2009,2010,0.10000000149011612,0.22058823858113852,Cfb,GRA,359.4934997558594,plumber,NA,14.075084576590957,0.35278287264874947
AU-Rig,145.57589721679688,-36.649898529052734,133,2011,2016,0.4000000059604645,0.8823529543245541,Cfb,GRA,196.72129821777344,plumber,C3,17.41543574265483,0.41614845725633853
AU-Rob,145.63009643554688,-17.11750030517578,710,2014,2017,44,97.05882352941177,Cwa,EBF,851.1192626953125,plumber,C3,21.13985399136267,5.9452466381574105
AU-Sam,152.8778076171875,-27.388099670410156,170,2011,2017,0.5,2,Cfa,GRA,511.2165222167969,plumber,NA,22.113913648550714,0.9594958129242628
AU-Stp,133.35020446777344,-17.150699615478516,252,2010,2017,0.5,1.1029411764705883,BSh,GRA,324.3975830078125,plumber,C4,28.17377989617602,0.41999721016446967
AU-TTE,133.63999938964844,-22.28700065612793,553,2013,2017,4.849999904632568,9.8100004196167,BWh,GRA,174.94302368164062,plumber,C4,26.201167422563362,0.2327728971292625
AU-Tum,148.15170288085938,-35.65660095214844,1200,2002,2017,40,70,Cfb,EBF,504.646728515625,plumber,C3,10.503214430760583,0.4882616775048496
