sitename,lat,lon,elv,date_start,date_end,product,koeppen_code,year_end,year_start,koeppen_code_beck,whc,igbp_land_use,data_path
SE-Nor,60.0865,17.479504,45,2014-01-01,2020-12-31,icos,Dfb,2020,2014,Dfb,295.938995361328,Evergreen Needleleaf Forest,data-raw/flux_data/
BE-Bra,51.30761,4.51984,16,1996-01-01,2020-12-31,icos,Cfb,2020,1996,Cfb,425.602996826172,Mixed Forest,data-raw/flux_data/
BE-Lcr,51.11218,3.85043,6.25,2019-01-01,2020-12-31,icos,Cfb,2020,2019,Cfb,321.834991455078,Croplands,data-raw/flux_data/
BE-Lon,50.55162,4.746234,170,2004-01-01,2020-12-31,icos,Cfb,2020,2004,Cfb,441.085998535156,Croplands,data-raw/flux_data/
BE-Maa,50.97987,5.631851,87,2016-01-01,2020-12-31,icos,Cfb,2020,2016,Cfb,314.752014160156,Savannas,data-raw/flux_data/
BE-Vie,50.304962,5.998099,490,1996-01-01,2020-12-31,icos,Dfb,2020,1996,Dfb,395.394012451172,Mixed Forest,data-raw/flux_data/
DE-Geb,51.09973,10.91463,161.5,2001-01-01,2020-12-31,icos,Dfb,2020,2001,Dfb,358.447998046875,Croplands,data-raw/flux_data/
DE-Gri,50.95004,13.51259,385,2004-01-01,2020-12-31,icos,Dfb,2020,2004,Dfb,392.226013183594,Savannas,data-raw/flux_data/
DE-Hai,51.079407,10.452089,438.7,2000-01-01,2020-12-31,icos,Dfb,2020,2000,Dfb,358.447998046875,Deciduous Broadleaf Forest,data-raw/flux_data/
DE-HoH,52.08656,11.22235,193,2015-01-01,2020-12-31,icos,Dfb,2020,2015,Dfb,392.226013183594,Mixed Forest,data-raw/flux_data/
DE-Kli,50.89306,13.52238,478,2004-01-01,2020-12-31,icos,Dfb,2020,2004,Dfb,392.226013183594,Croplands,data-raw/flux_data/
DE-RuR,50.621914,6.304126,514.7,2011-01-01,2020-12-31,icos,Dfb,2020,2011,Dfb,395.394012451172,Savannas,data-raw/flux_data/
DE-RuS,50.865906,6.4471445,103.2,2011-01-01,2020-12-31,icos,Cfb,2020,2011,Cfb,365.467010498047,Urban and Built-Up,data-raw/flux_data/
DE-RuW,50.50493,6.3309627,610,2012-01-01,2020-12-31,icos,Dfb,2020,2012,Dfb,395.394012451172,Evergreen Needleleaf Forest,data-raw/flux_data/
DE-Tha,50.96256,13.56515,380,1996-01-01,2020-12-31,icos,Dfb,2020,1996,Dfb,392.226013183594,Mixed Forest,data-raw/flux_data/
IT-Cp2,41.704266,12.357293,19,2012-01-01,2020-12-31,icos,Csa ,2020,2012,Csa ,380.264007568359,Evergreen Broadleaf Forest,data-raw/flux_data/
IT-MBo,46.01468,11.045831,1550,2003-01-01,2020-12-31,icos,Dfb,2020,2003,Dfb,371.638000488281,Grasslands,data-raw/flux_data/
IT-Ren,46.58686,11.43369,1735.6,1999-01-01,2020-12-31,icos,Dfc,2020,1999,Dfc,339.420013427734,Evergreen Needleleaf Forest,data-raw/flux_data/
IT-Tor,45.84444,7.578055,2168,2008-01-01,2020-12-31,icos,Dfc,2020,2008,Dfc,485.790008544922,Grasslands,data-raw/flux_data/
SE-Deg,64.18203,19.55654,270,2001-01-01,2020-12-31,icos,Dfc,2020,2001,Dfc,221.938003540039,Woody Savannas,data-raw/flux_data/
CZ-BK1,49.502075,18.536882,875,2004-01-01,2020-12-31,icos,Dfb,2020,2004,Dfb,401.579010009766,Evergreen Needleleaf Forest,data-raw/flux_data/
CZ-Lnz,48.68155,16.946331,150,2015-01-01,2020-12-31,icos,Dfb,2020,2015,Dfb,493.114013671875,Deciduous Broadleaf Forest,data-raw/flux_data/
CH-Dav,46.81533,9.85591,1689,1997-01-01,2020-12-31,icos,Dfc,2020,1997,Dfc,485.790008544922,Woody Savannas,data-raw/flux_data/
FI-Sii,61.83265,24.19285,160,2016-01-01,2020-12-31,icos,Dfc,2020,2016,Dfc,384.242004394531,Woody Savannas,data-raw/flux_data/
FR-Aur,43.54965,1.106103,250,2005-01-01,2020-12-31,icos,Cfa,2020,2005,Cfa,405.234008789062,Croplands,data-raw/flux_data/
FR-Fon,48.476357,2.780096,103,2005-01-01,2020-12-31,icos,Cfb,2020,2005,Cfb,379.950012207031,Mixed Forest,data-raw/flux_data/
FR-Gri,48.84422,1.95191,125,2004-01-01,2020-12-31,icos,Cfb,2020,2004,Cfb,405.234008789062,Croplands,data-raw/flux_data/
FR-Hes,48.6741,7.06465,310,2014-01-01,2020-12-31,icos,Cfb,2020,2014,Cfb,365.252014160156,Deciduous Broadleaf Forest,data-raw/flux_data/
SE-Htm,56.09763,13.41897,115,2015-01-01,2020-12-31,icos,Dfb,2020,2015,Dfb,404.578002929688,Evergreen Needleleaf Forest,data-raw/flux_data/
SE-Svb,64.25611,19.7745,267,2014-01-01,2020-12-31,icos,Dfc,2020,2014,Dfc,221.938003540039,Evergreen Needleleaf Forest,data-raw/flux_data/
FI-Ken,67.98721,24.24301,347,2018-01-01,2020-12-31,icos,Dfc,2020,2018,Dfc,221.938003540039,Woody Savannas,data-raw/flux_data/
FI-Var,67.7549,29.61,395,2016-01-01,2020-12-31,icos,Dfc,2020,2016,Dfc,364.5830078125,Savannas,data-raw/flux_data/
FR-FBn,43.24079,5.67865,436,2008-01-01,2020-12-31,icos,Csa ,2020,2008,Csa ,432.375,Evergreen Needleleaf Forest,data-raw/flux_data/
IT-SR2,43.73202,10.29091,4,2013-01-01,2020-12-31,icos,Csa ,2020,2013,Csa ,387.377014160156,Evergreen Needleleaf Forest,data-raw/flux_data/
GF-Guy,5.2787,-52.9248,40,2004-01-01,2020-12-31,icos,Am,2020,2004,Am,444.321014404297,Evergreen Broadleaf Forest,data-raw/flux_data/
FI-Hyy,61.84741,24.29477,181,1996-01-01,2020-12-31,icos,Dfc,2020,1996,Dfc,384.242004394531,Evergreen Needleleaf Forest,data-raw/flux_data/
DE-Hzd,50.96381,13.48978,395,2010-01-01,2020-12-31,icos,Dfb,2020,2010,Dfb,392.226013183594,Mixed Forest,data-raw/flux_data/
IT-Lsn,45.740482,12.750297,1,2016-01-01,2020-12-31,icos,Cfa,2020,2016,Cfa,364.640014648438,Croplands,data-raw/flux_data/
BE-Dor,50.31135,4.968591,247,2011-01-01,2020-12-31,icos,Cfb,2020,2011,Cfb,408.60400390625,Croplands,data-raw/flux_data/
FR-LGt,47.322918,2.284102,153,2017-01-01,2020-12-31,icos,Cfb,2020,2017,Cfb,405.234008789062,Mixed Forest,data-raw/flux_data/
FR-Tou,43.572857,1.37474,158,2018-01-01,2020-12-31,icos,Cfa,2020,2018,Cfa,402.983001708984,Urban and Built-Up,data-raw/flux_data/
DK-Gds,56.0737,9.3341,86,2020-01-01,2020-12-31,icos,Dfb,2020,2020,Dfb,425.602996826172,Evergreen Needleleaf Forest,data-raw/flux_data/
