TIMESTAMP,TA_F_MDS,TA_F_MDS_QC,TA_F_MDS_NIGHT,TA_F_MDS_NIGHT_SD,TA_F_MDS_NIGHT_QC,TA_F_MDS_DAY,TA_F_MDS_DAY_SD,TA_F_MDS_DAY_QC,TA_ERA,TA_ERA_NIGHT,TA_ERA_NIGHT_SD,TA_ERA_DAY,TA_ERA_DAY_SD,TA_F,TA_F_QC,TA_F_NIGHT,TA_F_NIGHT_SD,TA_F_NIGHT_QC,TA_F_DAY,TA_F_DAY_SD,TA_F_DAY_QC,SW_IN_POT,SW_IN_F_MDS,SW_IN_F_MDS_QC,SW_IN_ERA,SW_IN_F,SW_IN_F_QC,LW_IN_F_MDS,LW_IN_F_MDS_QC,LW_IN_ERA,LW_IN_F,LW_IN_F_QC,LW_IN_JSB,LW_IN_JSB_QC,LW_IN_JSB_ERA,LW_IN_JSB_F,LW_IN_JSB_F_QC,VPD_F_MDS,VPD_F_MDS_QC,VPD_ERA,VPD_F,VPD_F_QC,PA_ERA,PA_F,PA_F_QC,P_ERA,P_F,P_F_QC,WS_ERA,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,CO2_F_MDS,CO2_F_MDS_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_CORR_25,LE_CORR_75,LE_RANDUNC,LE_CORR_JOINTUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_CORR_25,H_CORR_75,H_RANDUNC,H_CORR_JOINTUNC,EBC_CF_N,EBC_CF_METHOD,NIGHT_D,DAY_D,NIGHT_RANDUNC_N,DAY_RANDUNC_N,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_REF_JOINTUNC,NEE_VUT_USTAR50,NEE_VUT_USTAR50_QC,NEE_VUT_USTAR50_RANDUNC,NEE_VUT_USTAR50_JOINTUNC,NEE_VUT_MEAN,NEE_VUT_MEAN_QC,NEE_VUT_SE,NEE_VUT_05,NEE_VUT_16,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_84,NEE_VUT_95,NEE_VUT_05_QC,NEE_VUT_16_QC,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,NEE_VUT_84_QC,NEE_VUT_95_QC,NEE_VUT_REF_NIGHT,NEE_VUT_REF_NIGHT_SD,NEE_VUT_REF_NIGHT_QC,NEE_VUT_REF_NIGHT_RANDUNC,NEE_VUT_REF_NIGHT_JOINTUNC,NEE_VUT_REF_DAY,NEE_VUT_REF_DAY_SD,NEE_VUT_REF_DAY_QC,NEE_VUT_REF_DAY_RANDUNC,NEE_VUT_REF_DAY_JOINTUNC,NEE_VUT_USTAR50_NIGHT,NEE_VUT_USTAR50_NIGHT_SD,NEE_VUT_USTAR50_NIGHT_QC,NEE_VUT_USTAR50_NIGHT_RANDUNC,NEE_VUT_USTAR50_NIGHT_JOINTUNC,NEE_VUT_USTAR50_DAY,NEE_VUT_USTAR50_DAY_SD,NEE_VUT_USTAR50_DAY_QC,NEE_VUT_USTAR50_DAY_RANDUNC,NEE_VUT_USTAR50_DAY_JOINTUNC,NEE_VUT_05_NIGHT,NEE_VUT_16_NIGHT,NEE_VUT_25_NIGHT,NEE_VUT_50_NIGHT,NEE_VUT_75_NIGHT,NEE_VUT_84_NIGHT,NEE_VUT_95_NIGHT,NEE_VUT_05_NIGHT_QC,NEE_VUT_16_NIGHT_QC,NEE_VUT_25_NIGHT_QC,NEE_VUT_50_NIGHT_QC,NEE_VUT_75_NIGHT_QC,NEE_VUT_84_NIGHT_QC,NEE_VUT_95_NIGHT_QC,NEE_VUT_05_DAY,NEE_VUT_16_DAY,NEE_VUT_25_DAY,NEE_VUT_50_DAY,NEE_VUT_75_DAY,NEE_VUT_84_DAY,NEE_VUT_95_DAY,NEE_VUT_05_DAY_QC,NEE_VUT_16_DAY_QC,NEE_VUT_25_DAY_QC,NEE_VUT_50_DAY_QC,NEE_VUT_75_DAY_QC,NEE_VUT_84_DAY_QC,NEE_VUT_95_DAY_QC,RECO_NT_VUT_REF,RECO_NT_VUT_USTAR50,RECO_NT_VUT_MEAN,RECO_NT_VUT_SE,RECO_NT_VUT_05,RECO_NT_VUT_16,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,RECO_NT_VUT_84,RECO_NT_VUT_95,GPP_NT_VUT_REF,GPP_NT_VUT_USTAR50,GPP_NT_VUT_MEAN,GPP_NT_VUT_SE,GPP_NT_VUT_05,GPP_NT_VUT_16,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,GPP_NT_VUT_84,GPP_NT_VUT_95,RECO_DT_VUT_REF,RECO_DT_VUT_USTAR50,RECO_DT_VUT_MEAN,RECO_DT_VUT_SE,RECO_DT_VUT_05,RECO_DT_VUT_16,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,RECO_DT_VUT_84,RECO_DT_VUT_95,GPP_DT_VUT_REF,GPP_DT_VUT_USTAR50,GPP_DT_VUT_MEAN,GPP_DT_VUT_SE,GPP_DT_VUT_05,GPP_DT_VUT_16,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,GPP_DT_VUT_84,GPP_DT_VUT_95,RECO_SR,RECO_SR_N
20050101,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-13.113,-13.173,3.65,-13.015,1.866,-13.113,0.0,-13.173,3.65,0.0,-13.015,1.866,0.0,113.162,20.553,1.0,24.98,20.553,1.0,-9999,-9999,264.134,264.134,0.0,-9999,-9999,283.976,283.976,0.0,-9999,-9999,0.021,0.021,0.0,99.48,99.48,0.0,15.797,0.0,1.0,2.9,2.9,0.0,-9999,0.0,-9999,0.0,39.5248958333,1.0,-9999,-9999,-9999,1.0,25.7039,0.0,-9999,-9999,-9999,-9999,-9999,104.24,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,30,18,0,0,0.251702,0.0,-9999,-9999,0.205054,0.0,-9999,-9999,0.239247,0.0,0.0261296,0.00365513,0.104079,0.116172,0.238982,0.347629,0.42019,0.509425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2726,2.20355,0.0,-9999,-9999,2.76781,1.57324,0.0,-9999,-9999,-1.22462,2.02746,0.0,-9999,-9999,2.56796,1.39156,0.0,-9999,-9999,-1.53514,-1.44062,-1.3803,-1.27967,-1.01564,-0.903764,-0.875238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.54712,2.56796,2.56796,2.56796,2.76781,2.76781,3.04447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.251702,-0.205054,-0.239247,0.0261296,-0.509425,-0.4218,-0.40368,-0.238982,-0.120902,-0.104079,-0.00365502,0.261802,0.381201,0.177967,0.0184419,0.0201603,0.044419,0.0676637,0.174384,0.261802,0.299664,0.374733,0.596359,0.596359,0.600825,0.0600838,0.125078,0.148731,0.303178,0.650908,0.796366,0.800006,1.1109,-9999,-9999
20050102,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-10.883,-11.275,4.431,-10.23,0.737,-10.883,0.0,-11.275,4.431,0.0,-10.23,0.737,0.0,113.778,58.749,1.0,54.557,58.749,1.0,-9999,-9999,241.874,241.874,0.0,-9999,-9999,255.854,255.854,0.0,-9999,-9999,0.233,0.233,0.0,98.731,98.731,0.0,2.751,0.0,1.0,3.192,3.192,0.0,-9999,0.0,-9999,0.0,112.978770833,1.0,-9999,-9999,-9999,1.0,32.2598,0.0,-9999,-9999,-9999,-9999,-9999,61.3754,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,30,18,0,0,-1.46979,0.0,-9999,-9999,-1.45803,0.0,-9999,-9999,-1.4687,0.0,0.0344731,-1.72772,-1.66375,-1.58815,-1.50597,-1.46979,-1.14377,-1.12501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.46861,2.64591,0.0,-9999,-9999,-1.32927,0.596128,0.0,-9999,-9999,-1.49473,2.41406,0.0,-9999,-9999,-1.25551,0.577269,0.0,-9999,-9999,-1.91056,-1.81192,-1.6511,-1.57954,-1.46861,-0.96594,-0.93701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.32927,-1.32927,-1.32927,-1.25551,-1.25551,-1.23662,-1.23662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.46979,1.45803,1.4687,0.0344731,0.883903,1.14377,1.45803,1.50597,1.58815,1.6163,1.72772,0.322201,0.419457,0.220074,0.0192982,0.0392467,0.0776678,0.097154,0.215525,0.327934,0.332335,0.41234,1.23028,1.23028,1.14554,0.1022,0.268687,0.314318,0.459262,1.32609,1.6041,1.62316,1.906,-9999,-9999
20050103,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-21.624,-21.566,0.98,-21.72,1.716,-21.624,0.0,-21.566,0.98,0.0,-21.72,1.716,0.0,114.453,69.311,1.0,50.906,69.311,1.0,-9999,-9999,215.583,215.583,0.0,-9999,-9999,222.642,222.642,0.0,-9999,-9999,0.0,0.0,0.0,99.389,99.389,0.0,0.367,0.0,1.0,1.797,1.797,0.0,-9999,0.0,-9999,0.0,133.2904375,1.0,-9999,-9999,-9999,1.0,35.1892,0.0,-9999,-9999,-9999,-9999,-9999,98.6799,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,30,18,0,0,-1.12696,0.0,-9999,-9999,-1.05547,0.0,-9999,-9999,-1.3372,0.0,0.0542396,-2.01974,-1.74116,-1.65067,-1.23989,-1.12696,-1.09726,-0.839463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.948424,2.404,0.0,-9999,-9999,-1.31528,0.480422,0.0,-9999,-9999,-0.858145,2.07946,0.0,-9999,-9999,-1.28202,0.473649,0.0,-9999,-9999,-2.34489,-1.92521,-1.78568,-1.12253,-0.948424,-0.922577,-0.505148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.36269,-1.31528,-1.31528,-1.28202,-1.28202,-1.28202,-1.26563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.12696,1.05547,1.3372,0.0542395,0.839463,1.05547,1.09726,1.23989,1.56151,1.72506,2.01763,0.0831604,0.225091,0.0760696,0.0128182,0.000376413,0.00169393,0.00374452,0.0216326,0.127123,0.176945,0.221272,1.40934,1.40934,1.30368,0.115509,0.30889,0.360777,0.510762,1.51742,1.83542,1.85475,2.14771,-9999,-9999
20050104,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-20.264,-21.02,1.641,-19.004,0.234,-20.264,0.0,-21.02,1.641,0.0,-19.004,0.234,0.0,115.186,63.919,1.0,53.821,63.919,1.0,-9999,-9999,224.975,224.975,0.0,-9999,-9999,234.506,234.506,0.0,-9999,-9999,0.0,0.0,0.0,99.601,99.601,0.0,0.83,0.0,1.0,2.455,2.455,0.0,-9999,0.0,-9999,0.0,122.9203125,1.0,-9999,-9999,-9999,1.0,25.7039,0.0,-9999,-9999,-9999,-9999,-9999,104.24,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,30,18,0,0,0.251702,0.0,-9999,-9999,0.205054,0.0,-9999,-9999,0.239247,0.0,0.0261296,0.00365513,0.104079,0.116172,0.238982,0.347629,0.42019,0.509425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2726,2.20355,0.0,-9999,-9999,2.76781,1.57324,0.0,-9999,-9999,-1.22462,2.02746,0.0,-9999,-9999,2.56796,1.39156,0.0,-9999,-9999,-1.53514,-1.44062,-1.3803,-1.27967,-1.01564,-0.903764,-0.875238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.54712,2.56796,2.56796,2.56796,2.76781,2.76781,3.04447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.251702,-0.205054,-0.239247,0.0261296,-0.509425,-0.4218,-0.40368,-0.238982,-0.120902,-0.104079,-0.00365502,0.105396,0.250768,0.0879714,0.0140869,0.000838157,0.00329529,0.00718019,0.0294568,0.141624,0.19713,0.246513,1.3424,1.3424,1.24586,0.110757,0.293346,0.343087,0.493429,1.44659,1.74984,1.77005,2.06625,-9999,-9999
20050105,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-23.387,-23.824,1.126,-22.66,2.02,-23.387,0.0,-23.824,1.126,0.0,-22.66,2.02,0.0,115.978,62.732,1.0,49.486,62.732,1.0,-9999,-9999,212.014,212.014,0.0,-9999,-9999,218.133,218.133,0.0,-9999,-9999,0.0,0.0,0.0,99.484,99.484,0.0,0.738,0.0,1.0,1.502,1.502,0.0,-9999,0.0,-9999,0.0,120.626604167,1.0,-9999,-9999,-9999,1.0,32.2598,0.0,-9999,-9999,-9999,-9999,-9999,61.3754,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,30,18,0,0,-1.46979,0.0,-9999,-9999,-1.45803,0.0,-9999,-9999,-1.4687,0.0,0.0344731,-1.72772,-1.66375,-1.58815,-1.50597,-1.46979,-1.14377,-1.12501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.46861,2.64591,0.0,-9999,-9999,-1.32927,0.596128,0.0,-9999,-9999,-1.49473,2.41406,0.0,-9999,-9999,-1.25551,0.577269,0.0,-9999,-9999,-1.91056,-1.81192,-1.6511,-1.57954,-1.46861,-0.96594,-0.93701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.32927,-1.32927,-1.32927,-1.25551,-1.25551,-1.23662,-1.23662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.46979,1.45803,1.4687,0.0344731,0.883903,1.14377,1.45803,1.50597,1.58815,1.6163,1.72772,0.0599629,0.192038,0.0625753,0.0110622,0.000157799,0.000791243,0.00177044,0.0143271,0.108456,0.150962,0.18878,1.33239,1.33239,1.23722,0.110049,0.290921,0.340381,0.490739,1.43612,1.7372,1.7577,2.05485,-9999,-9999
20050106,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-20.188,-20.251,4.216,-20.083,3.353,-20.188,0.0,-20.251,4.216,0.0,-20.083,3.353,0.0,116.828,78.131,1.0,48.073,78.131,1.0,-9999,-9999,210.274,210.274,0.0,-9999,-9999,215.936,215.936,0.0,-9999,-9999,0.008,0.008,0.0,97.843,97.843,0.0,0.231,0.0,1.0,2.273,2.273,0.0,-9999,0.0,-9999,0.0,150.251979167,1.0,-9999,-9999,-9999,1.0,35.1892,0.0,-9999,-9999,-9999,-9999,-9999,98.6799,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,30,18,0,0,-1.12696,0.0,-9999,-9999,-1.05547,0.0,-9999,-9999,-1.3372,0.0,0.0542396,-2.01974,-1.74116,-1.65067,-1.23989,-1.12696,-1.09726,-0.839463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.948424,2.404,0.0,-9999,-9999,-1.31528,0.480422,0.0,-9999,-9999,-0.858145,2.07946,0.0,-9999,-9999,-1.28202,0.473649,0.0,-9999,-9999,-2.34489,-1.92521,-1.78568,-1.12253,-0.948424,-0.922577,-0.505148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.36269,-1.31528,-1.31528,-1.28202,-1.28202,-1.28202,-1.26563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.12696,1.05547,1.3372,0.0542395,0.839463,1.05547,1.09726,1.23989,1.56151,1.72506,2.01763,0.11522,0.251982,0.0923934,0.0138056,0.00213012,0.00659558,0.0140214,0.0363149,0.14231,0.198085,0.247707,1.51978,1.51978,1.39333,0.122418,0.33493,0.3903,0.528677,1.63355,1.97276,1.9924,2.25965,-9999,-9999
20050107,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-14.402,-14.86,1.801,-13.639,2.386,-14.402,0.0,-14.86,1.801,0.0,-13.639,2.386,0.0,117.736,73.812,1.0,55.375,73.812,1.0,-9999,-9999,219.951,219.951,0.0,-9999,-9999,228.16,228.16,0.0,-9999,-9999,0.095,0.095,0.0,97.868,97.868,0.0,0.0,0.0,1.0,2.978,2.978,0.0,-9999,-9999,-9999,-9999,141.9401875,1.0,-9999,-9999,-9999,1.0,25.7039,0.0,-9999,-9999,-9999,-9999,-9999,104.24,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,30,18,0,0,0.251702,0.0,-9999,-9999,0.205054,0.0,-9999,-9999,0.239247,0.0,0.0261296,0.00365513,0.104079,0.116172,0.238982,0.347629,0.42019,0.509425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2726,2.20355,0.0,-9999,-9999,2.76781,1.57324,0.0,-9999,-9999,-1.22462,2.02746,0.0,-9999,-9999,2.56796,1.39156,0.0,-9999,-9999,-1.53514,-1.44062,-1.3803,-1.27967,-1.01564,-0.903764,-0.875238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.54712,2.56796,2.56796,2.56796,2.76781,2.76781,3.04447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.251702,-0.205054,-0.239247,0.0261296,-0.509425,-0.4218,-0.40368,-0.238982,-0.120902,-0.104079,-0.00365502,0.227289,0.358892,0.1552,0.0181788,0.0113106,0.027917,0.051581,0.131067,0.227289,0.282127,0.352803,1.49152,1.49152,1.37403,0.121257,0.327426,0.382165,0.530182,1.60503,1.94097,1.96044,2.25026,-9999,-9999
20050108,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-13.899,-14.388,3.996,-13.085,2.894,-13.899,0.0,-14.388,3.996,0.0,-13.085,2.894,0.0,118.703,47.471,1.0,33.877,47.471,1.0,-9999,-9999,250.024,250.024,0.0,-9999,-9999,266.15,266.15,0.0,-9999,-9999,0.096,0.096,0.0,98.729,98.729,0.0,0.398,0.0,1.0,1.41,1.41,0.0,-9999,0.0,-9999,0.0,91.2908958333,1.0,-9999,-9999,-9999,1.0,32.2598,0.0,-9999,-9999,-9999,-9999,-9999,61.3754,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,30,18,0,0,-1.46979,0.0,-9999,-9999,-1.45803,0.0,-9999,-9999,-1.4687,0.0,0.0344731,-1.72772,-1.66375,-1.58815,-1.50597,-1.46979,-1.14377,-1.12501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.46861,2.64591,0.0,-9999,-9999,-1.32927,0.596128,0.0,-9999,-9999,-1.49473,2.41406,0.0,-9999,-9999,-1.25551,0.577269,0.0,-9999,-9999,-1.91056,-1.81192,-1.6511,-1.57954,-1.46861,-0.96594,-0.93701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.32927,-1.32927,-1.32927,-1.25551,-1.25551,-1.23662,-1.23662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.46979,1.45803,1.4687,0.0344731,0.883903,1.14377,1.45803,1.50597,1.58815,1.6163,1.72772,0.24429,0.366883,0.167746,0.0179085,0.0176738,0.0394272,0.0614554,0.155002,0.24429,0.288408,0.360658,1.1201,1.1201,1.06194,0.0967589,0.24157,0.284069,0.451373,1.21188,1.46648,1.48578,1.82313,-9999,-9999
20050109,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-11.863,-12.17,1.112,-11.352,0.976,-11.863,0.0,-12.17,1.112,0.0,-11.352,0.976,0.0,119.727,20.798,1.0,30.93,20.798,1.0,-9999,-9999,265.229,265.229,0.0,-9999,-9999,285.359,285.359,0.0,-9999,-9999,0.006,0.006,0.0,98.173,98.173,0.0,4.79,0.0,1.0,2.499,2.499,0.0,-9999,0.0,-9999,0.0,39.9956875,1.0,-9999,-9999,-9999,1.0,35.1892,0.0,-9999,-9999,-9999,-9999,-9999,98.6799,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,30,18,0,0,-1.12696,0.0,-9999,-9999,-1.05547,0.0,-9999,-9999,-1.3372,0.0,0.0542396,-2.01974,-1.74116,-1.65067,-1.23989,-1.12696,-1.09726,-0.839463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.948424,2.404,0.0,-9999,-9999,-1.31528,0.480422,0.0,-9999,-9999,-0.858145,2.07946,0.0,-9999,-9999,-1.28202,0.473649,0.0,-9999,-9999,-2.34489,-1.92521,-1.78568,-1.12253,-0.948424,-0.922577,-0.505148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.36269,-1.31528,-1.31528,-1.28202,-1.28202,-1.28202,-1.26563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.12696,1.05547,1.3372,0.0542395,0.839463,1.05547,1.09726,1.23989,1.56151,1.72506,2.01763,0.290528,0.404084,0.193132,0.0194538,0.0220127,0.0499756,0.0772865,0.196708,0.290528,0.317653,0.397228,0.608357,0.608357,0.61371,0.061501,0.127478,0.151641,0.310648,0.664185,0.812879,0.816387,1.13705,-9999,-9999
20050110,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-17.725,-17.564,1.106,-17.993,1.484,-17.725,0.0,-17.564,1.106,0.0,-17.993,1.484,0.0,120.809,36.997,1.0,63.709,36.997,1.0,-9999,-9999,203.967,203.967,0.0,-9999,-9999,207.967,207.967,0.0,-9999,-9999,0.015,0.015,0.0,98.658,98.658,0.0,0.0,0.0,1.0,1.943,1.943,0.0,-9999,0.0,-9999,0.0,71.1482916667,1.0,-9999,-9999,-9999,1.0,25.7039,0.0,-9999,-9999,-9999,-9999,-9999,104.24,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,30,18,0,0,0.251702,0.0,-9999,-9999,0.205054,0.0,-9999,-9999,0.239247,0.0,0.0261296,0.00365513,0.104079,0.116172,0.238982,0.347629,0.42019,0.509425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2726,2.20355,0.0,-9999,-9999,2.76781,1.57324,0.0,-9999,-9999,-1.22462,2.02746,0.0,-9999,-9999,2.56796,1.39156,0.0,-9999,-9999,-1.53514,-1.44062,-1.3803,-1.27967,-1.01564,-0.903764,-0.875238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.54712,2.56796,2.56796,2.56796,2.76781,2.76781,3.04447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.251702,-0.205054,-0.239247,0.0261296,-0.509425,-0.4218,-0.40368,-0.238982,-0.120902,-0.104079,-0.00365502,0.151754,0.298386,0.112574,0.0162678,0.00263374,0.00855889,0.0182801,0.0478273,0.168517,0.234563,0.293323,0.962014,0.962014,0.931606,0.0873697,0.20502,0.24225,0.42266,1.04467,1.26989,1.28209,1.64999,-9999,-9999
